country,r,p,rho,p_spearman,euclidean_dist,p_fdr,p_spearman_fdr,ci_lo,ci_hi
Macau SAR,0.7279854947835968,9.645797552285517e-10,0.6889101640128549,1.64291302098816e-08,17.00248616744202,3.9021635552427774e-09,6.092469119497759e-08,0.5679105253629185,0.8349987261471044
Spain,0.7167563407674495,2.2858446031919827e-09,0.711313043349829,3.422327110419966e-09,15.760388474600157,8.845224768873324e-09,1.522935564136885e-08,0.5517872900367281,0.8277468620106453
Slovakia,0.7085604720976615,4.18255694645636e-09,0.6590684907647621,1.0823070625359422e-07,17.92796804965604,1.5510315343109e-08,3.210844285523295e-07,0.5400966955510789,0.8224304022180383
Hong Kong SAR,0.7071966910790226,4.615702794506653e-09,0.6815578677053538,2.6679433122776704e-08,17.517017137592394,1.6431901948443685e-08,9.132575184335103e-08,0.5381576856960097,0.8215438162368753
Italy,0.6896984245419719,1.55838502178388e-08,0.691980828941282,1.3361201165196272e-08,16.854400307915675,5.3344718053371276e-08,5.170203929141166e-08,0.5134365853719891,0.8101190169092173
Estonia,0.6876458937307792,1.7875480315481607e-08,0.6696211984061167,5.6945511229469264e-08,17.621618294853427,5.892287955843937e-08,1.8770927775639868e-07,0.5105558682061073,0.808772877972215
Australia,0.6796659889608382,3.015670261261157e-08,0.6866758827520547,1.9065498484965222e-08,16.53298736745118,9.58552333043725e-08,6.787317460647618e-08,0.4993937559868321,0.8035272226423428
Hungary,0.6720799328789803,4.8849846757049495e-08,0.6529704097097172,1.550842115871109e-07,16.769309672145923,1.466616560407405e-07,4.4524176875009256e-07,0.48883775075404384,0.7985225665606573
Puerto Rico,0.6718893428197912,4.943651327215972e-08,0.6683237343518519,6.170942620909148e-08,16.625611476623963,1.466616560407405e-07,1.9614781902175508e-07,0.4885732336865511,0.7983966054140565
Poland,0.671211240380226,5.1577902836032076e-08,0.6293565639220959,5.80437553333019e-07,17.44725906352334,1.480784952389308e-07,1.4349706179621859e-06,0.48763237868445247,0.7979483570886117
Latvia,0.6702319183282786,5.4824670145516724e-08,0.644104405338907,2.5794722525855707e-07,17.504196851426247,1.524811138422184e-07,6.956758499397447e-07,0.4862743390348034,0.7973007450197099
Portugal,0.6631566215845633,8.464862357018813e-08,0.6644745909908659,7.813774000396937e-08,15.913387729754714,2.2829477265899223e-07,2.3980202966735425e-07,0.4764892576240608,0.7926132410923362
Chile,0.6562308615722747,1.2808035878898503e-07,0.6451423765823189,2.432370764924561e-07,18.422678463471627,3.3526917447704904e-07,6.765031189946436e-07,0.4669555658243416,0.7880099387075452
Albania,0.6519865697462301,1.6422632906318641e-07,0.6252911765520659,7.205162091083828e-07,17.706591476639034,4.1760409390353116e-07,1.7331335840715152e-06,0.4611347277888912,0.7851816108953968
Cyprus,0.6431272206842822,2.7255300344314554e-07,0.6431096828973039,2.7282207001661775e-07,18.041345385807592,6.738115918455543e-07,7.141518891611465e-07,0.44903726295126006,0.7792599235857688
Brazil,0.634792617785821,4.325959281021396e-07,0.5902596470869135,4.1134142572279355e-06,17.185315162069703,1.0405685838132547e-06,8.929118753494787e-06,0.4377209318769157,0.7736667020251243
Taiwan ROC,0.6340122843521592,4.514001435441815e-07,0.640514754788774,3.154909771009909e-07,18.483139062084042,1.0572266519850568e-06,8.02248484628234e-07,0.43666461878435747,0.7731419219957407
Bulgaria,0.6294823613195788,5.765390473483729e-07,0.5865402501313541,4.890738652949494e-06,18.65705150801487,1.3156916721539792e-06,1.0122691630523371e-05,0.4305433324214041,0.7700917475630572
Colombia,0.6252099410562166,7.23612711866123e-07,0.5858915181042217,5.039537156862693e-06,18.142519809524718,1.6100382839021239e-06,1.0167870651824997e-05,0.4247867311048105,0.7672090565294271
Serbia,0.6213881545632625,8.841557783615215e-07,0.5728736287597638,9.073173818456228e-06,17.663429012713564,1.9192649822969615e-06,1.5529085958511623e-05,0.41965100502232217,0.7646255473721532
Venezuela,0.6197006338728583,9.651288149151636e-07,0.5813936427161033,6.192541848557931e-06,18.10163025929916,2.0451539173202275e-06,1.1482004677534498e-05,0.4173874139858643,0.7634833245397991
South Korea,0.6131512188801371,1.349552096862778e-06,0.6239937124978009,7.71483108584904e-07,19.202008968142405,2.7932589911810986e-06,1.8068946490541171e-06,0.4086259360761321,0.7590417215822474
Mexico,0.6112956756737136,1.4819907087233936e-06,0.5871889821584864,4.746026019108372e-06,18.566206034575725,2.997663024463228e-06,1.0057055135729646e-05,0.4061505172953286,0.7577808780809466
Croatia,0.608836471681204,1.6762140293415884e-06,0.5842048148336773,5.4463009133034945e-06,17.425237267709647,3.3151788580311414e-06,1.0537408288782848e-05,0.4028744074486116,0.7561081591725386
Lithuania,0.6054692260359291,1.9807725428854746e-06,0.6040127660621213,2.1278369892779035e-06,19.369497429899052,3.832364267756679e-06,4.85583312937778e-06,0.3983971643092848,0.7538146766680801
Singapore,0.6032236540033584,2.211699173880724e-06,0.5917986181592695,3.826698732584148e-06,17.794384680270948,4.188111201603924e-06,8.51440467999973e-06,0.395416824224433,0.7522831715837515
Thailand,0.5909282864228562,3.986478079863073e-06,0.5816098867251475,6.131935420922144e-06,19.971381109523758,7.3915947730794475e-06,1.1482004677534498e-05,0.3791755260708492,0.7438689393762674
Ukraine,0.5873607535113988,4.708380030674257e-06,0.5750793176520141,8.227315201698395e-06,18.76119092961865,8.551955565918549e-06,1.435747162649328e-05,0.37448736546617073,0.7414184192065062
Mongolia,0.5785463498653539,7.0441156890962455e-06,0.5854590300861333,5.141058194742976e-06,18.84239494509499,1.2538525926591317e-05,1.0167870651824997e-05,0.36295067369713946,0.7353461813480388
Belarus,0.5736451015723463,8.768570437416858e-06,0.575857796084573,7.946650428674e-06,19.374088188897442,1.5302015077060792e-05,1.4145037763039717e-05,0.35656416523871665,0.7319587866108515
Argentina,0.5663307394288217,1.2079353983480763e-05,0.5275921332659186,5.8421879180015616e-05,20.708965337870865,2.0674278933265153e-05,8.523847945936705e-05,0.3470708606123313,0.726889022706027
Russia,0.5636468238642041,1.356013914686023e-05,0.578625719400338,7.018975989908553e-06,19.86373453474985,2.2770799699444537e-05,1.2748752308201248e-05,0.3435986412909535,0.7250243357837876
Vietnam,0.5561955943990805,1.8596075430225515e-05,0.5714031694982635,9.681063164257305e-06,23.887578243229648,3.0649087283149455e-05,1.6256879653186794e-05,0.3339903145615703,0.7198350609409667
Romania,0.5483314926336129,2.574258864835603e-05,0.5614991938840413,1.4864007241266191e-05,18.67946648621712,4.155613651076558e-05,2.4498086008753537e-05,0.3238994329833871,0.714338337448214
Ecuador,0.5479488782958284,2.6147681400032273e-05,0.5390213218327681,3.7439342677302745e-05,19.43383040170886,4.155613651076558e-05,5.845792102245516e-05,0.3234097776882232,0.7140703802513837
Guatemala,0.5436091163727723,3.117228289211854e-05,0.537669104087376,3.949640596736149e-05,19.53835268072637,4.8588594615038397e-05,6.060655398439952e-05,0.31786431948702687,0.7110276937726692
Andorra,0.5432193871111186,3.1664477389575584e-05,0.4694224948330421,0.0004469950936552766,19.475146083245466,4.8588594615038397e-05,0.0005525356018794391,0.31736706815782184,0.7107541403159943
North Macedonia,0.539365798687885,3.693130135788198e-05,0.5492165341703337,2.482761736366976e-05,19.466343446188677,5.570992916697451e-05,4.017559900666561e-05,0.31245699289110285,0.7080465516561525
Nicaragua,0.5348497709184983,4.4123644920800416e-05,0.5359824008168316,4.220791100808951e-05,18.69970903568237,6.545007329918728e-05,6.366956067321978e-05,0.3067182551609611,0.7048671989187834
Bosnia Herzegovina,0.524923510276047,6.467018165856413e-05,0.501253612964341,0.00015361356164222875,18.991281426041446,9.43548552067575e-05,0.00020714556039633876,0.29416249675924344,0.6978548677344204
Kenya,0.5244404910874011,6.58645754515398e-05,0.5246944635447269,6.523406173222523e-05,19.578949526381074,9.454753572882326e-05,9.36424434543233e-05,0.2935535497362915,0.6975127945522043
Bolivia,0.5132269477292808,9.996070957897155e-05,0.5281976164912422,5.7083633664343885e-05,20.41792272133359,0.00014121433575442014,8.46740566021101e-05,0.27946900072268044,0.6895491517824226
Peru,0.5118376442799599,0.00010515705422052187,0.5016428521806205,0.00015152056840764442,20.012246695306068,0.00014623402852541323,0.00020714556039633876,0.27773096970488037,0.6885595176739131
Philippines,0.5018944144931425,0.0001501817593214874,0.5086924068754598,0.00011784602804036321,22.089600493423468,0.00020563348584019044,0.00016648089675543376,0.26533647550107314,0.6814574511954112
Kazakhstan,0.4971647328846059,0.00017724990811477282,0.5462756156473332,2.7989217353428237e-05,20.60093449642885,0.0002390188154881027,4.4482863293841306e-05,0.2594681180139781,0.6780673104104125
Georgia,0.49290715404909236,0.00020534285741352317,0.4845163266643238,0.00027288445933790326,19.845584385029024,0.00027276887029557557,0.00035198140407352737,0.25420049244606574,0.6750089660565369
Turkey,0.4814794701141345,0.00030192482245184585,0.5041512826855327,0.00013864471883967777,22.214777872837633,0.0003951663117384453,0.0001928028121364269,0.24013143805477696,0.6667690666369469
Morocco,0.47431583324029036,0.00038185591825737016,0.4696587878821535,0.00044363218831693053,21.860200106202512,0.0004925387931145789,0.0005525356018794391,0.23136341264779628,0.6615805431730165
Egypt,0.4736671776599923,0.000389965144686235,0.41769692786968127,0.0020629361216389533,23.54166870039805,0.0004933467451866441,0.0024158067740245636,0.23057142623485752,0.6611098439003152
Malaysia,0.4733828386776845,0.00039356875177810934,0.4916091301609719,0.00021468075495058593,21.352974205105866,0.0004933467451866441,0.00028517294314331566,0.23022435951081438,0.6609034657626304
China,0.4697950384777439,0.00044170350031949286,0.4668708155263211,0.00048480783182485696,21.536716470855275,0.0005459946045615954,0.0005910670826357845,0.22585036644749645,0.6582969394391486
Lebanon,0.4497455523836975,0.000822826065192162,0.48672201555657413,0.00025340910289770583,20.11752023871884,0.0010031715041383892,0.0003316677964396444,0.2015871780310259,0.6436473589665691
Armenia,0.43885798252897285,0.0011357460937372766,0.3878985034233973,0.00449220500835322,23.038562464252507,0.0013659648965218597,0.0050608385537143875,0.18853779550738492,0.6356321457168543
Tajikistan,0.43450305669965833,0.001288219491053121,0.48295936979920595,0.00028743989770073705,24.601530864668067,0.0015286871293830372,0.0003654592985052228,0.18334279775681117,0.6324142133049965
Iraq,0.4183630226369264,0.002025709082033533,0.4505660172443922,0.0008027339697558051,23.26552408348816,0.0023722119513287423,0.0009525776441102221,0.16421089172076272,0.6204281854224346
Iran,0.40946754133111507,0.002575679662883372,0.4541556677945251,0.0007199178360715558,23.25514163773956,0.002977084285670391,0.0008658471271671414,0.15374756304832685,0.6137815620741977
Bangladesh,0.4046436913835523,0.002926148941241904,0.3702097434835858,0.0069038882870321215,23.709445592780444,0.003338810971417044,0.007680575719323236,0.14809738021046545,0.6101650722449912
Zimbabwe,0.3852119857408346,0.004802374360762101,0.34862859138097957,0.011312298633838699,21.935917505602358,0.005410269849466165,0.012141670287889043,0.12550535102964275,0.5955096643883543
Ethiopia,0.384125686282734,0.004933029830652486,0.34858534257917073,0.011323130717918994,22.65396848758215,0.0054879956866008914,0.012141670287889043,0.12425027856138501,0.5946862242461545
Tunisia,0.3799651483652142,0.005462713938641455,0.3214683438450343,0.020133718806337467,22.60607006122761,0.006002241241223327,0.02083605783446552,0.1194510174613256,0.5915283486411465
Kyrgyzstan,0.37259056313770395,0.006524625959427535,0.396115775767075,0.0036499389655104517,24.199785514507273,0.007081606224256715,0.004218760622473119,0.11097410022505323,0.5859149961356777
Jordan,0.3657558639662253,0.007665168649001622,0.3520019979220684,0.010494414916108852,24.685909109815032,0.008219277226037885,0.011530900339922073,0.10315161231098786,0.5806942489939977
Nigeria,0.36156946721247285,0.008446192096055826,0.38828774263967675,0.004448757395994846,23.574503764904918,0.008948941625582959,0.0050608385537143875,0.09837616287065383,0.5774876775921627
Indonesia,0.356019184785918,0.009587420997919444,0.3289503865579618,0.017260290775088838,23.21382851109842,0.010038593750762713,0.018072539752740077,0.09206355375115699,0.573226141864057
Maldives,0.35000447064389495,0.010972320560619551,0.3123860954651799,0.02415594514763773,23.612461893418804,0.011355075929013256,0.024711254231491474,0.08524659389119574,0.5685947086038997
Myanmar,0.34048316181786087,0.013516524661753756,0.3479007873563978,0.011495777006522434,28.17765735126702,0.01382724936662166,0.012180049447386865,0.0745057672929688,0.5612346956122436
Pakistan,0.2892135421288113,0.037569526989432514,0.2342355105966239,0.0946471031383961,25.361720010829046,0.03799645343249425,0.09572263840133242,0.017711097841830392,0.5209936706331617
Libya,0.28432648479153755,0.04106820798389442,0.16365346604461314,0.24634604238373412,24.222417213136,0.04106820798389442,0.24634604238373412,0.012387333886787673,0.517103315387538
